"225","Kyeni South","7"
"226","Makima","7"
"227","Mavuria","7"
"228","Mbeti","7"
"229","Mbeti North","7"
"230","Muminji","7"
"231","Mwea","7"
"232","Nginda","7"
"233","Nthawa","7"
"234","Ruguru-Ngandori","7"
"235","Abakaile","8"
"236","Afwein","8"
"237","Balambala","8"
"238","Benane","8"
"239","Bura","8"
"240","Dadaab","8"
"241","Damajale","8"
"242","Danyere","8"
"243","Dekaharia","8"
"244","Dertu","8"
"245","Fafi","8"
"246","Galbet","8"
"247","Goreale","8"
"248","Hulugho","8"
"249","Iftin","8"
"250","Ijara","8"
"251","Jarajara","8"
"252","Jarajila","8"
"253","Labisgale","8"
"254","Liboi","8"
"255","Maalamin","8"
"256","Masalani","8"
"257","Modogashe","8"
"258","Nanighi","8"
"259","Sabena","8"
"260","Saka","8"
"261","Sangilau","8"
"262","Sankuri","8"
"263","Township","8"
"264","Waberi","8"
"265","Central","9"
"266","Gem East","9"
"267","Gem West","9"
"268","Gembe","9"
"269","Gwassi North","9"
"270","Gwassi South","9"
"271","Homa Bay Arujo","9"
"272","Homa Bay Central","9"
"273","Homa Bay East","9"
"274","Homa Bay West","9"
"275","Kabondo East","9"
"276","Kabondo West","9"
"277","Kabouch North","9"
"278","Kabouch South / Pala","9"
"279","Kagan","9"
"280","Kaksingiri West","9"
"281","Kamagak East","9"
"282","Kamagak West","9"
"283","Kanyadoto","9"
"284","Kanyaluo","9"
"285","Kanyamwa Kalogi","9"
"286","Kanyamwa Kosewe","9"
"287","Kanyikela","9"
"288","Karachuonyo North","9"
"289","Karachuonyo West","9"
"290","Kasgunga","9"
"291","Kasipul Central","9"
"292","Kasipul South","9"
"293","Kasipul West","9"
"294","Kendu Bay Town","9"
"295","Kibiri","9"
"296","Kochia","9"
"297","Kojwach","9"
"298","Kokwanyo / Kakelo ","9"
"299","Kwabwai","9"
"300","Lambwe","9"
"301","Mfangano Island","9"
"302","Ruma-Kaksingiri East","9"
"303","Rusinga Island","9"
"304","Wang'chieng","9"
"305","Bulla Pesa","10"
"306","Burat","10"
"307","Chari","10"
"308","Cherab","10"
"309","Garba Tulla","10"
"310","Kinna","10"
"311","Ngare Mara","10"
"312","Oldo-Nyiro","10"
"313","Sericho","10"
"314","Wabera","10"
"315","Dalalekutuk","11"
"316","Entonet / Lenkism","11"
"317","Ewuaso Oo Nkidong'i","11"
"318","Ildamat","11"
"319","Iloodokilani","11"
"320","Imaroro","11"
"321","Imbirikani / Eselenkei","11"
"322","Kaputiei North","11"
"323","Keekonyokie","11"
"324","Kenyawa-Poka","11"
"325","Kimana","11"
"326","Kiserian","11"
"327","Kitengela","11"
"328","Kuku","11"
"329","Magadi","11"
"330","Matapato North","11"
"331","Matapato South","11"
"332","Ngong","11"
"333","Nkaimurunya","11"
"334","Olkeri","11"
"335","Oloolua","11"
"336","Oloosirkon / Sholinke","11"
"337","Ongata Rongai","11"
"338","Purko","11"
"339","Rombo","11"
"340","Bunyala Central","12"
"341","Bunyala East","12"
"342","Bunyala West","12"
"343","Butali / Chegulo","12"
"344","Butsotso Central","12"
"345","Butsotso East","12"
"346","Butsotso South","12"
"347","Chekalini","12"
"348","Chemuche","12"
"349","Chevaywa","12"
"350","East Kabras","12"
"351","East Wanga","12"
"352","Etenje","12"
"353","Idakho Central","12"
"354","Idakho East","12"
"355","Idakho South","12"
"356","Idakho West","12"
"357","Ingotse-Matiha","12"
"358","Isukha Central","12"
"359","Isukha East","12"
"360","Isukha North","12"
"361","Isukha South","12"
"362","Isukha West","12"
"363","Khalaba","12"
"364","Khaungu-Malaha-Isongo","12"
"365","Kholera","12"
"366","Kisa Central","12"
"367","Kisa East","12"
"368","Kisa North","12"
"369","Kisa West","12"
"370","Kongoni","12"
"371","Koyonzo","12"
"372","Likuyani","12"
"373","Lugari","12"
